Company_Name,Year,Service_Area_Urban_Square_Kilometers,Service_Area_Rural_Square_Kilometers,Service_Area_Total_Square_Kilometers,Winter_Peak_Load_With_Embedded_Generation_kW,Summer_Peak_Load_With_Embedded_Generation_kW,Average_Peak_Load_With_Embedded_Generation_kW,Average_Load_Factor_With_Embedded_Generation_Percentage,Winter_Peak_Load_Without_Embedded_Generation_kW,Summer_Peak_Load_Without_Embedded_Generation_kW,Average_Peak_Load_Without_Embedded_Generation_kW,Average_Load_Factor_Without_Embedded_Generation_Percentage,Primary_Overhead_Circuit_Kilometers_of_Line,Secondary_Overhead_Circuit_Kilometers_of_Line,Total_Overhead_Circuit_Kilometers_of_Line,Primary_Underground_Circuit_Kilometers_of_Line,Secondary_Underground_Circuit_Kilometers_of_Line,Total_Underground_Circuit_Kilometers_of_Line,Total_Primary_Circuit_Kilometers_of_Line,Total_Secondary_Circuit_Kilometers_of_Line,Total_Circuit_Kilometers_of_Line
Toronto Hydro-Electric System Limited,2015,630,0,630,4020868,4404382,3817051,86.6648487801467,4026862,4429011,3831054,86.499085235959,,,4105,,,6243,,,10348
Toronto Hydro-Electric System Limited,2016,630,0,630,3777078,4591559,3961102,86.2692170567775,3777679,4637502,3980288,85.8282756535738,,,15561,,,13044,,,28605
Toronto Hydro-Electric System Limited,2017,630,0,630,3642930,4246688,3661521,86.2206265211855,3686750,4315880,3719558,86.1830727453034,,,15543,,,13220,,,28763
Toronto Hydro-Electric System Limited,2018,630,0,630,3798967,4559532,3842003,84.2630998093664,3812782,4609358,3891960,84.4360537844967,,,15515,,,13207,,,28722
Toronto Hydro-Electric System Limited,2019,630,0,630,3917482,4271851,3637084,85.1407036434557,3939071,4311781,3681027,85.371381338709,4075,11405,15480,6453,6954,13407,10528,18359,28887
Toronto Hydro-Electric System Limited,2020,630,0,630,3511495,4493058,3572695,79.5158887332414,3546484,4586951,3626251,79.055804171442,4072,11381,15453,6525,7032,13557,10597,18413,29010
Toronto Hydro-Electric System Limited,2021,630,0,630,3500916,4385591,3528718,80.4616299148735,3534259,4457304,3595190,80.6583979912521,4057,11349,15406,6568,7113,13681,10625,18462,29087
Wasaga Distribution Inc.,2015,53,8,61,27603,29681,23396,78.8248374380917,27638,30039,23601,78.5678617796864,,,161,,,124,,,285
Wasaga Distribution Inc.,2016,53,8,61,26028,28947,23599,81.5248557708916,26741,29450,24178,82.0984719864177,,,163,,,126,,,289
Wasaga Distribution Inc.,2017,53,8,61,26920,25648,22716,84.3833580980684,27424,26507,23399,85.3230746791132,,,165,,,113,,,278
Wasaga Distribution Inc.,2018,53,8,61,26648,37410,26299,70.2993851911254,27190,38645,27294,70.6275067925993,,,165,,,115,,,280
Wasaga Distribution Inc.,2019,53,8,61,26544,31880,23676,74.2659974905897,27202,33072,24707,74.7067005321722,168,,,118,,,286,0,286
Wasaga Distribution Inc.,2020,53,8,61,25720,35106,26974,76.835868512505,26363,36244,25964,71.6366846926388,168,,168,123,,123,291,0,291
Wasaga Distribution Inc.,2021,53,8,61,27750,36439,27708,76.0394083262439,27975,37541,26814,71.4259076742761,168,,168,124,,124,292,0,292
Waterloo North Hydro Inc.,2015,65,607,672,242869,269427,233665,86.7266458075843,251152,277434,241273,86.9659090089895,,,1086,,,532,,,1618
Waterloo North Hydro Inc.,2016,65,607,672,232140,291414,240346,82.4757904561895,241822,301200,249077,82.6948871181939,,,1068,,,551,0,0,1619
Waterloo North Hydro Inc.,2017,65,607,672,225653,270341,227410,84.1196858782057,235850,281216,237217,84.3540196859354,,,1080,,,566,0,0,1646
Waterloo North Hydro Inc.,2018,65,618,683,234010,290747,242094,83.2662073899301,246501,302616,252810,83.5415179633595,,,1076,,,576,0,0,1652
Waterloo North Hydro Inc.,2019,65,618,683,240428,271173,228082,84.1094061724434,252693,283807,239065,84.2350611507116,1072,,1072,576,,576,1648,0,1648
Waterloo North Hydro Inc.,2020,65,618,683,222574,287196,226772,78.9607097591889,235051,299764,237656,79.2810344137388,1074,,1074,580,,580,1654,0,1654
Waterloo North Hydro Inc.,2021,65,618,683,220328,275621,226307,82.1080396631607,234670,287213,236615,82.3831093996442,1071,,1071,586,,586,1657,0,1657
Welland Hydro-Electric System Corp.,2015,45,36,81,63168,73422,60622,82.5665331916864,63168,79457,62395,78.526750317782,,,338,,,142,,,480
Welland Hydro-Electric System Corp.,2016,45,36,81,60106,77480,61537,79.4230769230769,60107,82564,63593,77.0226733200911,,,338,,,142,,,480
Welland Hydro-Electric System Corp.,2017,45,36,81,58098,73021,58624,80.2837539885786,58098,77648,60471,77.8783742015248,,,337,,,142,,,479
Welland Hydro-Electric System Corp.,2018,45,36,81,61224,79116,64624,81.6825926487689,61224,84738,67219,79.3256862328589,,,334,,,147,,,481
Welland Hydro-Electric System Corp.,2019,45,36,81,63018,73288,60325,82.3122475712259,63018,80633,62565,77.5923009189786,335,,335,155,,155,490,0,490
Welland Hydro-Electric System Corp.,2020,45,36,81,59059,79771,61962,77.6748442416417,59059,87033,64530,74.1442900968598,336,0,336,158,0,158,494,0,494
Welland Hydro-Electric System Corp.,2021,45,36,81,57133,79523,61546,77.3939614954164,57133,85419,64035,74.9657570329786,338,0,338,159,0,159,497,0,497
Wellington North Power Inc.,2015,14,0,14,17359,16660,16068,92.5629356529754,17690,16938,16309,92.1933295647258,,,66,,,10,,,76
Wellington North Power Inc.,2016,14,0,14,16484,16466,15877,96.3176413491871,16760,16739,16119,96.1754176610979,,,69,,,10,,,79
Wellington North Power Inc.,2017,14,0,14,16381,16004,15454,94.3410048226604,16780,16292,15720,93.6829558998808,,,69,,,10,,,79
Wellington North Power Inc.,2018,14,0,14,16660,16355,15818,94.9459783913566,16685,16554,15902,95.3071621216662,,,69,,,10,,,79
Wellington North Power Inc.,2019,14,0,14,16845,15949,15324,90.9706144256456,16845,16156,15428,91.5880083110715,71,77,148,15,45,60,86,122,208
Wellington North Power Inc.,2020,14,0,14,15846,16815,15086,89.7175141242938,15850,17052,15200,89.139103917429,71,77,148,16,46,62,87,123,210
Wellington North Power Inc.,2021,14,0,14,16825,18160,16092,88.6123348017621,16867,18362,16202,88.2365755364339,71,77,148,18,51,69,89,128,217
Westario Power Inc.,2015,64,0,64,93376,66441,68524,73.3850239890336,94884,67949,70032,73.8080182117111,,,376,,,146,,,522
Westario Power Inc.,2016,64,0,64,69686,71203,67889,95.3457017260509,75257,76744,69406,90.4383404565829,,,378,,,152,,,530
Westario Power Inc.,2017,64,0,64,74293,66349,66343,89.2991264318307,76014,68069,64623,85.0146025732102,,,384,,,157,,,541
Westario Power Inc.,2018,0,64,64,77362,73818,68651,88.7399498461777,79620,76076,70909,89.0592815875408,,,386,,,159,,,545
Westario Power Inc.,2019,0,64,64,80824,70762,66918,82.7947144412551,83113,73051,69207,83.2685620781346,393,,393,167,,167,560,0,560
Westario Power Inc.,2020,0,64,64,73182,74978,67424,89.9250446797727,75510,77307,69753,90.2285692110676,410,,410,167,,167,577,0,577
Westario Power Inc.,2021,,64,64,73717,77697,69447,89.3818294142631,76126,80106,71856,89.7011459815744,413,,413,170,,170,583,0,583
